大專院校名稱,補助計畫摘要,補助計畫,補助經費
國立臺灣海洋大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺南大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立清華大學,獎補助費合併第三期經費（109年） 04--304510,高等教育行政及督導,43379608
國立臺東專科學校,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立雲林科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立中正大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立勤益科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立高雄師範大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立暨南國際大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立政治大學,補助109特色領域研究中心計畫第1期款-政大 06--304510,高等教育行政及督導,2400000
國立澎湖科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立中正大學,補助國立中正大學「防制藥物濫用教育中心107至108年營運計畫」第2期經費 04--304510,學生事務與特殊教育行政及督導,708000
國立陽明大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺南藝術大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺灣體育運動大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立高雄大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立金門大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立中山大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺北科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺中教育大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立中正大學,「臺灣學術網路(TANet)區域網路中心109年度基礎維運與資安人員計畫」暨「網際網路技術學刊」等計畫經費 03--304510,資訊與科技教育行政及督導,30000
國立臺東大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2723460
國立臺灣藝術大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,1789086
國立宜蘭大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2721000
國立聯合大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2298546
國立暨南國際大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2799414
國立嘉義大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,3240000
國立臺北藝術大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2830374
國立東華大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2400000
國立高雄大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2229246
國立彰化師範大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2950398
國立臺灣海洋大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,4752300
國立臺中科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立清華大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立彰化師範大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立成功大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立交通大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立屏東大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立聯合大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立中興大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立宜蘭大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺灣科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立中央大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺東大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立高雄科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺中教育大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2555209
國立高雄師範大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,1842139
國立臺北大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,4281438
國立臺南大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2249352
國立臺灣體育運動大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,1349892
國立體育大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2310000
國立成功大學,「臺灣學術網路(TANet)區域網路中心109年度基礎維運與資安人員計畫」暨「網際網路技術學刊」等計畫經費 03--304510,資訊與科技教育行政及督導,890000
國立屏東大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2929362
國立金門大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2362545
國立臺北教育大學,補助109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,2712768
國立虎尾科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,27000
國立臺北藝術大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立中正大學,補助109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,4200000
國立臺灣海洋大學,補助109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,2100000
國立中山大學,補助109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,2100000
國立清華大學,獎補助費109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,9900000
國立臺南藝術大學,補助109年度「高等教育深耕計畫」第1部分主冊經費大 06--304510,高等教育行政及督導,900000
國立臺北大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺北商業大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立屏東科技大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立體育大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立臺灣海洋大學,補助馬祖校區109年度經費 04--304510,高等教育行政及督導,1000000
國立臺北教育大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立嘉義大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立政治大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立中央大學,獎補助費109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,12629784
國立臺灣師範大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--404505,學生事務與特殊教育行政及督導,45000
國立高雄師範大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,120000
國立臺灣大學,獎補助費109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,12900000
國立交通大學,獎補助費109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,15465000
國立中山大學,108年度臺灣學術網路(TANet)青少年網路內容防護計畫 03--304510,資訊與科技教育行政及督導,1090000
國立臺灣師範大學,獎補助費109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,4500000
國立臺灣藝術大學,教育部補助大專校院109年度招收及輔導身心障礙學生工作計畫經費 06--304510,學生事務與特殊教育行政及督導,45000
國立成功大學,獎補助費109特色領域研究中心計畫第1期款 06--304510,高等教育行政及督導,9360000
國立臺灣大學,獎補助費109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,9295956
國立清華大學,獎補助費109年度「高等教育深耕計畫」第1部分主冊經費 06--304510,高等教育行政及督導,7584732
國立臺灣大學,「臺灣學術網路(TANet)區域網路中心109年度基礎維運與資安人員計畫」暨「網際網路技術學刊」等計畫經費 03--304510,資訊與科技教育行政及督導,28000
國立東華大學,教育部部分補助108年度「數位人文社會科學教學創新計畫」-東華 07--304510,資訊與科技教育行政及督導,50000
國立成功大學,智慧創新跨領域人才培育聯盟計畫 07--304510,資訊與科技教育行政及督導,50000
國立清華大學,獎補助費109年度「高等教育深耕計畫」第2部分全校型計畫經費 06--304510,高等教育行政及督導,52292400
